Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-55-5899-01A-11D-1625-08	198	49	106	39	46	11	16	9
TCGA-55-6543-01A-11D-1753-08	0	0	1	1	3	0	15	2
TCGA-55-6642-01A-11D-1855-08	44	50	6	0	0	15	7	6
TCGA-55-6712-01A-11D-1855-08	9	17	70	0	26	4	11	0
TCGA-55-6968-01A-11D-1945-08	53	60	353	0	49	9	3	0
TCGA-55-6969-01A-11D-1945-08	125	111	6	68	43	28	3	27
TCGA-55-6971-01A-11D-1945-08	15	21	4	19	10	10	0	5
TCGA-55-6972-01A-11D-1945-08	62	0	116	0	42	10	11	35
TCGA-55-6975-01A-11D-1945-08	9	19	9	1	9	7	13	4
TCGA-55-6978-01A-11D-1945-08	0	1	0	0	6	8	6	6
TCGA-55-6979-01A-11D-1945-08	43	0	28	22	19	2	0	0
TCGA-55-6980-01A-11D-1945-08	0	0	0	1	8	0	2	0
TCGA-55-6981-01A-11D-1945-08	0	0	6	0	18	9	16	0
TCGA-55-6982-01A-11D-1945-08	8	0	167	27	0	7	12	0
TCGA-55-6984-01A-11D-1945-08	0	4	0	10	0	3	3	0
TCGA-55-6985-01A-11D-1945-08	202	113	0	125	0	1	17	0
TCGA-55-6986-01A-11D-1945-08	0	0	1	3	1	8	5	0
TCGA-55-6987-01A-11D-1945-08	39	24	55	59	0	0	6	0
TCGA-55-7281-01A-11D-2036-08	213	0	36	57	118	25	7	6
TCGA-55-7283-01A-11D-2036-08	67	0	41	32	35	0	41	12
TCGA-55-7284-01B-11D-2238-08	0	1	0	5	10	0	21	6
TCGA-55-7570-01A-11D-2036-08	108	17	79	97	40	52	0	0
TCGA-55-7573-01A-11D-2036-08	9	5	5	20	11	0	0	1
TCGA-55-7574-01A-11D-2036-08	36	15	106	74	0	0	2	0
TCGA-55-7576-01A-11D-2063-08	170	12	17	35	102	29	22	9
TCGA-55-7724-01A-11D-2167-08	16	29	27	31	23	51	23	11
TCGA-55-7725-01A-11D-2167-08	73	0	3	19	14	19	8	5
TCGA-55-7726-01A-11D-2167-08	0	20	71	1	0	1	22	0
TCGA-55-7727-01A-11D-2167-08	83	0	89	0	45	12	16	20
TCGA-55-7903-01A-11D-2167-08	52	5	18	44	0	6	26	5
TCGA-55-7907-01A-11D-2167-08	619	156	201	88	100	42	25	0
TCGA-55-7910-01A-11D-2167-08	133	96	4	28	32	0	30	0
TCGA-55-7911-01A-11D-2167-08	99	0	18	33	72	9	11	1
TCGA-55-7913-01B-11D-2238-08	139	67	34	0	52	28	22	12
TCGA-55-7914-01A-11D-2167-08	56	35	24	0	5	34	28	0
TCGA-55-7994-01A-11D-2184-08	911	25	74	457	72	40	56	1
TCGA-55-7995-01A-11D-2184-08	242	146	90	36	86	58	8	36
TCGA-55-8085-01A-11D-2238-08	74	13	117	0	36	12	26	8
TCGA-55-8087-01A-11D-2238-08	0	0	7	0	6	3	11	0
