Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-CM-6678-01A-11D-1835-10	0	0	70	74
TCGA-CM-6679-01A-11D-1835-10	29	0	38	0
TCGA-CM-6680-01A-11D-1835-10	0	7	43	40
TCGA-D5-5537-01A-21D-1924-10	17	10	39	38
TCGA-D5-5538-01A-01D-1650-10	14	5	23	74
TCGA-D5-5540-01A-01D-1650-10	0	0	61	58
TCGA-D5-5541-01A-01D-1650-10	0	0	29	35
TCGA-D5-6529-01A-11D-1771-10	11	12	54	36
TCGA-D5-6530-01A-11D-1719-10	571	0	419	0
TCGA-D5-6531-01A-11D-1719-10	1	14	85	90
TCGA-D5-6532-01A-11D-1719-10	4	14	40	66
TCGA-D5-6533-01A-11D-1719-10	11	21	31	114
TCGA-D5-6535-01A-11D-1719-10	17	17	24	118
TCGA-D5-6536-01A-11D-1719-10	24	0	40	33
TCGA-D5-6537-01A-11D-1719-10	0	15	39	58
TCGA-D5-6538-01A-11D-1719-10	25	2	84	36
TCGA-D5-6539-01A-11D-1719-10	13	10	23	53
TCGA-D5-6541-01A-11D-1719-10	0	0	58	38
TCGA-D5-6898-01A-11D-1924-10	4	5	38	35
TCGA-D5-6920-01A-11D-1924-10	16	1	46	51
TCGA-D5-6922-01A-11D-1924-10	12	3	55	37
TCGA-D5-6924-01A-11D-1924-10	6	6	33	95
TCGA-D5-6926-01A-11D-1924-10	0	0	42	70
TCGA-D5-6927-01A-21D-1924-10	491	13	142	5
TCGA-D5-6931-01A-11D-1924-10	87	29	30	176
TCGA-D5-6932-01A-11D-1924-10	20	12	22	78
TCGA-DM-A0X9-01A-11D-A152-10	14	22	57	98
TCGA-DM-A0XD-01A-12D-A152-10	20	13	60	78
TCGA-DM-A0XF-01A-11D-A152-10	15	15	0	101
TCGA-DM-A1D0-01A-11D-A152-10	5	5	35	79
TCGA-DM-A1D4-01A-21D-A152-10	15	6	99	67
TCGA-DM-A1D8-01A-11D-A152-10	33	14	32	84
TCGA-DM-A1D9-01A-11D-A152-10	12	12	14	96
TCGA-DM-A1DA-01A-11D-A152-10	75	15	36	171
TCGA-DM-A1DB-01A-11D-A152-10	3	4	22	32
TCGA-DM-A1HA-01A-11D-A152-10	0	0	71	79
TCGA-DM-A28C-01A-11D-A16V-10	0	0	44	58
TCGA-DM-A28E-01A-11D-A16V-10	3	11	24	44
TCGA-DM-A28F-01A-11D-A16V-10	57	28	18	145
TCGA-DM-A28G-01A-11D-A16V-10	16	3	47	63
TCGA-DM-A28H-01A-11D-A16V-10	18	9	39	54
TCGA-DM-A28M-01A-12D-A16V-10	6	3	53	31
TCGA-F4-6459-01A-11D-1771-10	5	15	23	84
TCGA-F4-6460-01A-11D-1771-10	24	21	27	84
TCGA-F4-6461-01A-11D-1771-10	41	7	42	59
TCGA-F4-6569-01A-11D-1771-10	0	20	24	77
TCGA-F4-6570-01A-11D-1771-10	995	38	435	139
TCGA-F4-6805-01A-11D-1835-10	0	0	33	38
TCGA-F4-6806-01A-11D-1835-10	5	4	54	45
TCGA-F4-6807-01A-11D-1835-10	40	12	0	121
TCGA-F4-6808-01A-11D-1835-10	4	2	58	74
TCGA-F4-6854-01A-11D-1924-10	18	5	8	88
TCGA-F4-6855-01A-11D-1924-10	10	6	32	61
TCGA-G4-6293-01A-11D-1719-10	14	9	34	65
TCGA-G4-6294-01A-11D-1806-10	49	8	33	70
TCGA-G4-6295-01A-11D-1719-10	24	11	27	89
TCGA-G4-6297-01A-11D-1719-10	0	13	39	37
TCGA-G4-6298-01A-11D-1719-10	0	0	43	34
TCGA-G4-6299-01A-11D-1771-10	39	12	40	72
TCGA-G4-6303-01A-11D-1771-10	0	12	49	45
TCGA-G4-6304-01A-11D-1924-10	559	14	233	68
TCGA-G4-6306-01A-11D-1771-10	30	4	53	37
TCGA-G4-6307-01A-11D-1719-10	11	13	22	32
TCGA-G4-6309-01A-21D-1835-10	264	0	484	0
TCGA-G4-6310-01A-11D-1719-10	7	9	53	41
TCGA-G4-6311-01A-11D-1719-10	20	8	31	93
TCGA-G4-6314-01A-11D-1719-10	14	7	72	58
TCGA-G4-6315-01A-11D-1719-10	14	5	56	77
TCGA-G4-6317-01A-11D-1719-10	0	0	46	61
TCGA-G4-6317-02A-11D-2067-10	30	10	35	56
TCGA-G4-6320-01A-11D-1719-10	388	1	492	178
TCGA-G4-6321-01A-11D-1719-10	0	0	25	38
TCGA-G4-6323-01A-11D-1719-10	25	0	34	28
TCGA-G4-6586-01A-11D-1771-10	597	0	495	0
TCGA-G4-6588-01A-11D-1771-10	1595	8	368	52
TCGA-G4-6625-01A-21D-1771-10	0	0	33	79
TCGA-G4-6626-01A-11D-1771-10	0	0	74	66
TCGA-G4-6627-01A-11D-2188-10	4	2	35	48
TCGA-G4-6628-01A-11D-1835-10	1474	0	469	0
TCGA-NH-A50T-01A-11D-A28G-10	0	17	76	55
TCGA-NH-A50V-01A-11D-A28G-10	25	4	77	64
TCGA-NH-A6GA-01A-11D-A36X-10	0	6	28	57
TCGA-NH-A6GB-01A-11D-A36X-10	17	6	55	88
TCGA-NH-A8F7-06A-31D-A40P-10	0	13	53	44
TCGA-NH-A8F8-01A-72D-A40P-10	0	0	46	59
TCGA-QG-A5YV-01A-11D-A28G-10	23	10	69	69
TCGA-QG-A5YW-01A-11D-A28G-10	27	14	43	78
TCGA-QG-A5YX-01A-11D-A28G-10	0	0	56	40
TCGA-QG-A5Z2-01A-11D-A28G-10	606	4	354	75
TCGA-QL-A97D-01A-12D-A40P-10	54	27	61	92
TCGA-SS-A7HO-01A-21D-A36X-10	25	0	47	100
TCGA-T9-A92H-01A-11D-A36X-10	44	5	34	103
