Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-49-4505-01A-01D-1931-08	58	73	14	10	24	0	6	30	7
TCGA-49-4506-01A-01D-1265-08	46	24	0	7	0	0	26	10	3
TCGA-49-4510-01A-01D-1265-08	17	0	3	4	7	0	14	2	0
TCGA-49-4512-01A-21D-1855-08	6	0	0	4	0	8	0	12	6
TCGA-49-4514-01A-21D-1855-08	97	22	38	97	35	22	5	24	0
TCGA-49-6743-01A-11D-1855-08	162	60	134	198	61	41	81	20	18
TCGA-49-6744-01A-11D-1855-08	86	65	0	0	18	40	0	2	2
TCGA-49-6745-01A-11D-1855-08	0	0	6	66	14	7	10	25	1
TCGA-49-6761-01A-31D-1945-08	35	0	17	68	10	28	9	11	9
TCGA-49-AAQV-01A-11D-A397-08	0	9	0	20	19	1	7	5	0
TCGA-49-AAR0-01A-21D-A397-08	9	63	0	10	21	0	0	19	14
TCGA-49-AAR3-01A-11D-A410-08	48	3	0	14	10	20	25	1	2
TCGA-49-AAR4-01A-12D-A410-08	207	76	94	93	39	39	15	5	5
TCGA-49-AAR9-01A-21D-A410-08	310	198	0	0	29	120	0	26	2
TCGA-49-AARE-01A-11D-A410-08	561	260	220	95	0	0	95	33	16
TCGA-49-AARN-01A-21D-A410-08	169	43	36	101	0	19	27	0	397
TCGA-49-AARO-01A-12D-A410-08	422	22	56	17	57	33	8	0	11
TCGA-49-AARQ-01A-11D-A410-08	383	138	0	66	61	80	14	15	0
TCGA-49-AARR-01A-11D-A410-08	0	0	1	0	0	0	0	0	0
TCGA-4B-A93V-01A-11D-A397-08	57	3	19	12	0	22	18	6	6
TCGA-50-5044-01A-21D-1855-08	0	0	0	63	66	0	0	1	0
TCGA-50-5045-01A-01D-1625-08	203	34	0	16	7	4	19	3	0
TCGA-50-5051-01A-21D-1855-08	28	44	8	2	12	0	8	14	0
TCGA-50-5055-01A-01D-1625-08	0	0	1	0	3	0	3	3	0
TCGA-50-5066-01A-01D-1625-08	80	47	55	15	33	8	10	2	22
TCGA-50-5066-02A-11D-2107-08	87	45	87	10	47	47	16	11	36
TCGA-50-5068-01A-01D-1625-08	27	0	4	4	11	14	11	20	0
TCGA-50-5072-01A-21D-1855-08	18	52	41	20	0	0	19	11	5
TCGA-50-5930-01A-11D-1753-08	679	119	158	12	3	104	57	17	18
TCGA-50-5931-01A-11D-1753-08	96	76	35	14	43	0	47	11	0
TCGA-50-5932-01A-11D-1753-08	38	0	15	0	2	20	0	3	0
TCGA-50-5935-01A-11D-1753-08	0	0	0	44	29	1	13	7	0
TCGA-50-5939-01A-11D-1625-08	3	7	0	21	0	7	19	11	5
TCGA-50-5941-01A-11D-1753-08	148	70	11	5	74	38	19	8	7
TCGA-50-5942-01A-21D-1753-08	24	0	0	1	4	13	5	2	7
TCGA-50-5946-01A-11D-1753-08	307	33	42	115	112	4	45	37	0
TCGA-50-5946-02A-11D-2107-08	326	51	5	129	124	18	50	37	0
TCGA-50-6590-01A-12D-1855-08	392	6	136	125	179	12	38	4	11
TCGA-50-6591-01A-11D-1753-08	0	0	7	1	7	20	0	7	8
TCGA-50-6592-01A-11D-1753-08	47	34	32	40	38	76	11	14	8
TCGA-50-6593-01A-11D-1753-08	107	63	49	12	8	25	37	10	12
TCGA-50-6594-01A-11D-1753-08	196	116	120	40	43	2	15	8	7
TCGA-50-6595-01A-12D-1855-08	9	0	0	24	0	33	7	3	4
TCGA-50-6597-01A-11D-1855-08	0	0	7	21	0	9	0	11	6
TCGA-50-6673-01A-11D-1945-08	0	6	0	6	4	4	14	16	1
