Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-G4-6299-01A-11D-1771-10	32	40	4	16	1	70
TCGA-G4-6303-01A-11D-1771-10	0	50	9	8	9	30
TCGA-G4-6304-01A-11D-1924-10	427	180	0	29	180	58
TCGA-G4-6306-01A-11D-1771-10	27	50	5	3	6	33
TCGA-G4-6307-01A-11D-1719-10	11	22	8	10	0	27
TCGA-G4-6309-01A-21D-1835-10	164	403	0	0	180	1
TCGA-G4-6310-01A-11D-1719-10	9	49	4	12	0	36
TCGA-G4-6311-01A-11D-1719-10	10	42	9	0	16	75
TCGA-G4-6314-01A-11D-1719-10	15	72	7	7	2	48
TCGA-G4-6315-01A-11D-1719-10	14	62	10	0	0	66
TCGA-G4-6317-01A-11D-1719-10	0	49	4	3	8	43
TCGA-G4-6317-02A-11D-2067-10	30	33	8	5	0	55
TCGA-G4-6320-01A-11D-1719-10	346	474	24	14	21	180
TCGA-G4-6321-01A-11D-1719-10	0	23	2	6	3	29
TCGA-G4-6323-01A-11D-1719-10	24	34	1	0	0	28
TCGA-G4-6586-01A-11D-1771-10	364	360	0	8	360	0
TCGA-G4-6588-01A-11D-1771-10	1122	223	0	17	661	0
TCGA-G4-6625-01A-21D-1771-10	4	33	0	4	10	61
TCGA-G4-6626-01A-11D-1771-10	10	75	0	0	0	55
TCGA-G4-6627-01A-11D-2188-10	2	39	6	0	4	38
TCGA-G4-6628-01A-11D-1835-10	1337	408	33	0	0	165
TCGA-NH-A50T-01A-11D-A28G-10	0	70	5	24	13	36
TCGA-NH-A50V-01A-11D-A28G-10	23	78	13	0	0	56
TCGA-NH-A6GA-01A-11D-A36X-10	0	30	2	9	6	44
TCGA-NH-A6GB-01A-11D-A36X-10	9	55	3	11	12	76
TCGA-NH-A8F7-06A-31D-A40P-10	0	49	6	15	7	33
TCGA-NH-A8F8-01A-72D-A40P-10	9	46	0	0	0	50
TCGA-QG-A5YV-01A-11D-A28G-10	24	67	9	7	0	64
TCGA-QG-A5YW-01A-11D-A28G-10	14	47	12	4	30	55
TCGA-QG-A5YX-01A-11D-A28G-10	0	56	5	0	13	22
TCGA-QG-A5Z2-01A-11D-A28G-10	476	306	6	14	186	51
TCGA-QL-A97D-01A-12D-A40P-10	46	63	20	13	11	81
TCGA-SS-A7HO-01A-21D-A36X-10	16	57	6	0	12	81
TCGA-T9-A92H-01A-11D-A36X-10	37	42	7	2	0	98
