"Hugo_Symbol","LUAD","COAD","pval","or","ci.up","ci.low","adjPval"
"STOX2",2,16,1.6041787088152e-05,0.0774575517213822,0.332824615358249,0.00857852076353436,0.00290456874319973
"EFEMP1",1,14,1.68233732482838e-05,0.0444591478473129,0.294809658395402,0.00105145930557142,0.00290456874319973
"MAP7D1",1,14,1.68233732482838e-05,0.0444591478473129,0.294809658395402,0.00105145930557142,0.00290456874319973
"NHLRC3",1,14,1.68233732482838e-05,0.0444591478473129,0.294809658395402,0.00105145930557142,0.00290456874319973
"CEP290",6,23,1.73742257518734e-05,0.159330358457208,0.408113880085579,0.0524993010806414,0.00295280396098637
"GFRAL",22,0,2.02213616270189e-05,Inf,Inf,3.6555843712038,0.00338381154487822
"COL11A1",110,34,2.31054072755152e-05,2.37227609542925,3.69800628097471,1.55333977884671,0.00380784113539059
"MYH14",8,25,2.87945576700495e-05,0.19493326317153,0.452578114872166,0.0750440964567196,0.00423054799098549
"APLP1",3,17,2.91567995174623e-05,0.109227677174787,0.381771820019068,0.0203352697649101,0.00423054799098549
"ARHGEF1",3,17,2.91567995174623e-05,0.109227677174787,0.381771820019068,0.0203352697649101,0.00423054799098549
"CCDC110",3,17,2.91567995174623e-05,0.109227677174787,0.381771820019068,0.0203352697649101,0.00423054799098549
"ZFP36L2",3,17,2.91567995174623e-05,0.109227677174787,0.381771820019068,0.0203352697649101,0.00423054799098549
"CDON",4,19,2.95597726684653e-05,0.129698402258151,0.395063503601752,0.0317998025649741,0.00423054799098549
"ERC2",4,19,2.95597726684653e-05,0.129698402258151,0.395063503601752,0.0317998025649741,0.00423054799098549
"USP35",4,19,2.95597726684653e-05,0.129698402258151,0.395063503601752,0.0317998025649741,0.00423054799098549
"XPO4",4,19,2.95597726684653e-05,0.129698402258151,0.395063503601752,0.0317998025649741,0.00423054799098549
"XYLT2",4,19,2.95597726684653e-05,0.129698402258151,0.395063503601752,0.0317998025649741,0.00423054799098549
"ASXL3",65,14,3.01538856693153e-05,3.27396535334773,6.42880449764504,1.78108986231285,0.00424200067719329
"NFE2L1",0,11,3.0809787027514e-05,0,0.251586913009887,0,0.00424200067719329
"TVP23A",0,11,3.0809787027514e-05,0,0.251586913009887,0,0.00424200067719329
"TEK",5,20,3.34125984218172e-05,0.153833019553053,0.427834998764519,0.044675294951474,0.00454286041292632
"ZNF536",104,32,3.54439353757726e-05,2.36481564021039,3.73294447648194,1.53148149112995,0.00473448641198768
"OR2T34",33,3,3.60252275301685e-05,7.49676734182461,38.481460209548,2.32318791549937,0.00473448641198768
"MUC3A",21,0,3.72549286395855e-05,Inf,Inf,3.46810794118697,0.00473448641198768
"IGSF9",2,15,3.74336518737649e-05,0.0828698931295963,0.359921815327888,0.00913333238637029,0.00473448641198768
"UTP4",2,15,3.74336518737649e-05,0.0828698931295963,0.359921815327888,0.00913333238637029,0.00473448641198768
"ZNF43",2,15,3.74336518737649e-05,0.0828698931295963,0.359921815327888,0.00913333238637029,0.00473448641198768
"CAMSAP3",1,13,4.10411089848525e-05,0.048023031195167,0.322512361140244,0.00112969716811229,0.00507277434577546
"CD58",1,13,4.10411089848525e-05,0.048023031195167,0.322512361140244,0.00112969716811229,0.00507277434577546
"ZFPM2",53,10,4.49311228397872e-05,3.68763269378085,8.25051377650129,1.82322883931686,0.00549118902391422
"AMER1",33,50,5.1794798846029e-05,0.388753112434989,0.631396424715743,0.236693745371482,0.00625968918942508
"DAAM2",4,18,6.00642123823912e-05,0.137330648576922,0.421917148911753,0.0335042273504965,0.00703009285446195
"MYO1F",4,18,6.00642123823912e-05,0.137330648576922,0.421917148911753,0.0335042273504965,0.00703009285446195
"OR5L1",32,3,6.01083603443009e-05,7.25533987927024,37.3284937983077,2.24235708685914,0.00703009285446195
"ZNF646",6,21,6.20705934964032e-05,0.175579880181266,0.455847020476501,0.057366125500972,0.00718236005808913
"CTCF",3,16,6.5223083698066e-05,0.116409146845199,0.411079884115703,0.0215808412867624,0.00738894886288922
"ECM2",3,16,6.5223083698066e-05,0.116409146845199,0.411079884115703,0.0215808412867624,0.00738894886288922
"DOCK6",5,19,6.93494071549513e-05,0.16242313500953,0.455470478297729,0.0469387890171601,0.00738894886288922
"KIRREL3",5,19,6.93494071549513e-05,0.16242313500953,0.455470478297729,0.0469387890171601,0.00738894886288922
"ZNF518A",5,19,6.93494071549513e-05,0.16242313500953,0.455470478297729,0.0469387890171601,0.00738894886288922
"BCL9",10,26,7.05067492306574e-05,0.234414167889159,0.510508879704899,0.0994823090610193,0.00738894886288922
"CELSR1",13,29,7.31746225731388e-05,0.27215105466361,0.549756561172351,0.127831009354452,0.00738894886288922
"NLRP3",66,16,7.78195400828932e-05,2.89757198367718,5.46263677683304,1.62364902368621,0.00738894886288922
"CCNL1",0,10,7.99389068821988e-05,0,0.282511599121482,0,0.00738894886288922
"DDX47",0,10,7.99389068821988e-05,0,0.282511599121482,0,0.00738894886288922
"FAM83E",0,10,7.99389068821988e-05,0,0.282511599121482,0,0.00738894886288922
"TCHP",0,10,7.99389068821988e-05,0,0.282511599121482,0,0.00738894886288922
"UBP1",0,10,7.99389068821988e-05,0,0.282511599121482,0,0.00738894886288922
"WIZ",0,10,7.99389068821988e-05,0,0.282511599121482,0,0.00738894886288922
"ZNF385A",0,10,7.99389068821988e-05,0,0.282511599121482,0,0.00738894886288922
"ZNF749",0,10,7.99389068821988e-05,0,0.282511599121482,0,0.00738894886288922
"PDZRN3",46,8,8.00686215848357e-05,3.9665446840573,9.85879607387455,1.82331818318288,0.00738894886288922
