"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples"
"CACNA1B",0,0,0,0,26,0,0,0,0,26,22,22
"MTUS2",0,0,1,0,25,0,0,0,0,26,22,22
"SCN4A",0,1,0,0,24,1,0,0,0,26,22,22
"SPEN",9,2,0,1,12,2,0,0,0,26,22,22
"TET3",7,1,1,0,16,1,0,0,0,26,22,22
"CDH18",2,0,0,0,22,1,0,0,0,25,22,22
"CHD5",1,1,0,0,21,1,0,1,0,25,22,22
"NPHS1",2,1,0,0,22,0,0,0,0,25,22,22
"PCDHB7",1,0,0,0,24,0,0,0,0,25,22,22
"PDZD2",2,3,1,0,18,1,0,0,0,25,22,22
"PTPN13",4,0,0,0,21,0,0,0,0,25,22,22
"RANBP2",3,3,0,0,16,3,0,0,0,25,22,22
"TCHH",0,0,0,0,22,3,0,0,0,25,22,22
"ANK1",1,0,0,0,23,0,0,0,0,24,22,22
"ARMC4",0,1,0,0,19,4,0,0,0,24,22,22
"CDH4",2,1,0,0,21,0,0,0,0,24,22,22
"KANSL1",7,0,0,0,13,4,0,0,0,24,22,22
"PLXNA1",4,0,0,0,20,0,0,0,0,24,22,22
"GPR158",1,0,0,0,20,2,0,0,0,23,22,22
"HRNR",0,0,0,0,21,2,0,0,0,23,22,22
"MED12",1,0,0,1,20,1,0,0,0,23,22,22
"NAV2",2,0,0,0,21,0,0,0,0,23,22,22
"SEC16A",1,2,0,0,20,0,0,0,0,23,22,22
"TULP4",1,2,0,0,18,2,0,0,0,23,22,22
"CACNA2D3",3,0,0,0,15,3,0,1,0,22,22,22
"CDH12",0,1,0,0,15,5,0,1,0,22,22,22
"GRM7",4,0,0,0,16,1,0,1,0,22,22,22
"NEXMIF",1,0,0,0,18,3,0,0,0,22,22,22
"ITPR2",2,3,0,0,24,8,0,0,0,37,21,21
"SCAF11",4,3,0,0,24,3,0,1,0,35,21,21
"ADGRG4",1,3,0,0,26,0,0,1,0,31,21,21
"MON2",3,0,2,0,21,5,0,0,0,31,21,21
"RIF1",3,4,0,0,21,3,0,0,0,31,21,21
"CACNA1D",7,1,0,0,18,4,0,0,0,30,21,21
"CHL1",0,1,0,0,29,0,0,0,0,30,21,21
"GRID1",0,0,0,0,28,1,0,0,0,29,21,21
"VWA8",4,2,0,0,17,6,0,0,0,29,21,21
"PCDH19",7,0,0,0,19,2,0,0,0,28,21,21
"POLE",3,0,1,0,23,0,0,1,0,28,21,21
"LARP4B",10,1,0,0,15,1,0,0,0,27,21,21
"UNC13A",0,0,0,0,26,1,0,0,0,27,21,21
"CACNA1F",1,0,0,0,19,4,0,2,0,26,21,21
"DOCK10",2,0,0,0,22,2,0,0,0,26,21,21
"MINAR1",12,0,0,0,11,3,0,0,0,26,21,21
