Samples	SBS1	SBS5	SBS10a	SBS10b	SBS15	SBS20	SBS40a	SBS54
TCGA-G4-6320-01A-11D-1719-10	429	265	0	0	365	0	0	0
TCGA-G4-6321-01A-11D-1719-10	30	0	0	0	0	0	33	0
TCGA-G4-6323-01A-11D-1719-10	30	26	0	0	31	0	0	0
TCGA-G4-6586-01A-11D-1771-10	394	205	0	0	358	0	0	135
TCGA-G4-6588-01A-11D-1771-10	348	386	0	0	784	302	0	203
TCGA-G4-6625-01A-21D-1771-10	46	19	0	0	0	0	47	0
TCGA-G4-6626-01A-11D-1771-10	75	65	0	0	0	0	0	0
TCGA-G4-6627-01A-11D-2188-10	61	28	0	0	0	0	0	0
TCGA-G4-6628-01A-11D-1835-10	337	351	0	0	912	343	0	0
TCGA-NH-A50T-01A-11D-A28G-10	76	48	0	24	0	0	0	0
TCGA-NH-A50V-01A-11D-A28G-10	83	49	0	0	38	0	0	0
TCGA-NH-A6GA-01A-11D-A36X-10	39	9	0	0	0	0	43	0
TCGA-NH-A6GB-01A-11D-A36X-10	67	39	0	0	0	0	60	0
TCGA-NH-A8F7-06A-31D-A40P-10	59	35	0	16	0	0	0	0
TCGA-NH-A8F8-01A-72D-A40P-10	42	41	0	0	22	0	0	0
TCGA-QG-A5YV-01A-11D-A28G-10	68	61	0	0	42	0	0	0
TCGA-QG-A5YW-01A-11D-A28G-10	67	41	0	0	0	0	54	0
TCGA-QG-A5YX-01A-11D-A28G-10	62	34	0	0	0	0	0	0
TCGA-QG-A5Z2-01A-11D-A28G-10	314	231	0	0	332	162	0	0
TCGA-QL-A97D-01A-12D-A40P-10	64	111	0	0	59	0	0	0
TCGA-SS-A7HO-01A-21D-A36X-10	77	0	0	0	0	0	95	0
TCGA-T9-A92H-01A-11D-A36X-10	50	2	0	0	35	0	99	0
